file_name,date,match_type,teams,venue,city,winner,gender,overs
1144167.json,2019-03-03,ODI,"South Africa, Sri Lanka",The Wanderers Stadium,Johannesburg,South Africa,male,50
1168243.json,2019-03-05,ODI,"India, Australia","Vidarbha Cricket Association Stadium, Jamtha",Nagpur,India,male,50
1144168.json,2019-03-06,ODI,"South Africa, Sri Lanka",SuperSport Park,Centurion,South Africa,male,50
1168244.json,2019-03-08,ODI,"India, Australia",JSCA International Stadium Complex,Ranchi,Australia,male,50
1168245.json,2019-03-10,ODI,"India, Australia","Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Australia,male,50
1144169.json,2019-03-10,ODI,"South Africa, Sri Lanka",Kingsmead,Durban,South Africa,male,50
1144170.json,2019-03-13,ODI,"South Africa, Sri Lanka",St George's Park,Port Elizabeth,South Africa,male,50
1168246.json,2019-03-13,ODI,"India, Australia",Arun Jaitley Stadium,Delhi,Australia,male,50
1144171.json,2019-03-16,ODI,"South Africa, Sri Lanka",Newlands,Cape Town,South Africa,male,50
1174238.json,2019-03-22,ODI,"Australia, Pakistan",Sharjah Cricket Stadium,Sharjah,Australia,male,50
1174239.json,2019-03-24,ODI,"Australia, Pakistan",Sharjah Cricket Stadium,Sharjah,Australia,male,50
1174240.json,2019-03-27,ODI,"Australia, Pakistan",Sheikh Zayed Stadium,Abu Dhabi,Australia,male,50
1174241.json,2019-03-29,ODI,"Australia, Pakistan",Dubai International Cricket Stadium,Dubai,Australia,male,50
1174242.json,2019-03-31,ODI,"Australia, Pakistan",Dubai International Cricket Stadium,Dubai,Australia,male,50
1179272.json,2019-04-10,ODI,"Zimbabwe, United Arab Emirates",Harare Sports Club,Harare,Zimbabwe,male,50
1179273.json,2019-04-12,ODI,"Zimbabwe, United Arab Emirates",Harare Sports Club,Harare,Zimbabwe,male,50
1179275.json,2019-04-16,ODI,"Zimbabwe, United Arab Emirates",Harare Sports Club,Harare,Zimbabwe,male,50
1174845.json,2019-04-27,ODI,"Namibia, Oman",Wanderers Cricket Ground,Windhoek,Namibia,male,50
1174844.json,2019-04-27,ODI,"Papua New Guinea, United States of America",Affies Park,Windhoek,Papua New Guinea,male,50
1161014.json,2019-05-03,ODI,"Ireland, England","The Village, Malahide",Dublin,England,male,50
1168508.json,2019-05-05,ODI,"Ireland, West Indies",Castle Avenue,Dublin,West Indies,male,50
1168509.json,2019-05-07,ODI,"Bangladesh, West Indies",Castle Avenue,Dublin,Bangladesh,male,50
1152841.json,2019-05-08,ODI,"England, Pakistan",Kennington Oval,London,No Result,male,50
1168511.json,2019-05-11,ODI,"Ireland, West Indies","The Village, Malahide",Dublin,West Indies,male,50
1152842.json,2019-05-11,ODI,"England, Pakistan",The Rose Bowl,Southampton,England,male,50
1168512.json,2019-05-13,ODI,"Bangladesh, West Indies","The Village, Malahide",Dublin,Bangladesh,male,50
1152843.json,2019-05-14,ODI,"England, Pakistan",County Ground,Bristol,England,male,50
1168513.json,2019-05-15,ODI,"Ireland, Bangladesh",Castle Avenue,Dublin,Bangladesh,male,50
1168514.json,2019-05-17,ODI,"Bangladesh, West Indies","The Village, Malahide",Dublin,Bangladesh,male,50
1152844.json,2019-05-17,ODI,"England, Pakistan",Trent Bridge,Nottingham,England,male,50
1152845.json,2019-05-19,ODI,"England, Pakistan",Headingley,Leeds,England,male,50
